Tue Apr 23 00:44:07 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 410.79       Driver Version: 410.79       CUDA Version: 10.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:3B:00.0 Off |                    0 |
| N/A   34C    P0    34W / 250W |      0MiB / 16130MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Please run `conda env list` to see a list of all available environments. Use
`source activate <env>` to activate the environment '<env>'. 
-------------------------------------------------------------------------------
There are messages associated with the following module(s):
-------------------------------------------------------------------------------

anaconda/anaconda3-5.3.0:
   We are currently experiencing issues with the anaconda3-5.3.0 module and
   are working on fixing it right now. We apologize for the inconvenience
   and will try to remedy this as soon as possible. Thank You

-------------------------------------------------------------------------------

Loading youtubeVOS dataset ...

Pushing the model to GPU ...

Training started, woohoo ...

Epoch [1/100] 		 Step [81/434] 		 Loss: 2.1421
Epoch [1/100] 		 Step [82/434] 		 Loss: 2.1720
Epoch [1/100] 		 Step [83/434] 		 Loss: 2.2360
Epoch [1/100] 		 Step [84/434] 		 Loss: 2.2606
Epoch [1/100] 		 Step [85/434] 		 Loss: 2.2599
Epoch [1/100] 		 Step [86/434] 		 Loss: 2.4068
Epoch [1/100] 		 Step [87/434] 		 Loss: 2.2593
Epoch [1/100] 		 Step [88/434] 		 Loss: 2.3490
Epoch [1/100] 		 Step [89/434] 		 Loss: 2.0862
Epoch [1/100] 		 Step [90/434] 		 Loss: 2.2318
Epoch [1/100] 		 Step [91/434] 		 Loss: 2.4815
Epoch [1/100] 		 Step [92/434] 		 Loss: 2.3129
Epoch [1/100] 		 Step [93/434] 		 Loss: 2.5686
Epoch [1/100] 		 Step [94/434] 		 Loss: 2.2667
Epoch [1/100] 		 Step [95/434] 		 Loss: 2.2314
Epoch [1/100] 		 Step [96/434] 		 Loss: 2.4025
Epoch [1/100] 		 Step [97/434] 		 Loss: 2.2660
Epoch [1/100] 		 Step [98/434] 		 Loss: 2.3837
Epoch [1/100] 		 Step [99/434] 		 Loss: 2.4966
Epoch [1/100] 		 Step [100/434] 		 Loss: 2.2050
Epoch [1/100] 		 Step [101/434] 		 Loss: 2.3370
Epoch [1/100] 		 Step [102/434] 		 Loss: 2.1628
Epoch [1/100] 		 Step [103/434] 		 Loss: 2.1783
Epoch [1/100] 		 Step [104/434] 		 Loss: 2.5503
Epoch [1/100] 		 Step [105/434] 		 Loss: 2.3994
Epoch [1/100] 		 Step [106/434] 		 Loss: 2.4047
Epoch [1/100] 		 Step [107/434] 		 Loss: 2.2362
Epoch [1/100] 		 Step [108/434] 		 Loss: 2.0570
Epoch [1/100] 		 Step [109/434] 		 Loss: 2.4316
Epoch [1/100] 		 Step [110/434] 		 Loss: 2.3305
Epoch [1/100] 		 Step [111/434] 		 Loss: 2.3667
Epoch [1/100] 		 Step [112/434] 		 Loss: 2.0919
Epoch [1/100] 		 Step [113/434] 		 Loss: 2.3931
Epoch [1/100] 		 Step [114/434] 		 Loss: 2.3626
Epoch [1/100] 		 Step [115/434] 		 Loss: 2.2645
Epoch [1/100] 		 Step [116/434] 		 Loss: 2.1735
Epoch [1/100] 		 Step [117/434] 		 Loss: 2.2461
Epoch [1/100] 		 Step [118/434] 		 Loss: 2.2262
Epoch [1/100] 		 Step [119/434] 		 Loss: 2.1516
Epoch [1/100] 		 Step [120/434] 		 Loss: 2.3689
Epoch [1/100] 		 Step [121/434] 		 Loss: 2.3566
Epoch [1/100] 		 Step [122/434] 		 Loss: 2.2985
Epoch [1/100] 		 Step [123/434] 		 Loss: 2.1352
Epoch [1/100] 		 Step [124/434] 		 Loss: 2.3195
Epoch [1/100] 		 Step [125/434] 		 Loss: 2.2604
Epoch [1/100] 		 Step [126/434] 		 Loss: 2.0637
Epoch [1/100] 		 Step [127/434] 		 Loss: 2.2056
Epoch [1/100] 		 Step [128/434] 		 Loss: 2.2055
Epoch [1/100] 		 Step [129/434] 		 Loss: 2.4015
Epoch [1/100] 		 Step [130/434] 		 Loss: 2.1877
Epoch [1/100] 		 Step [131/434] 		 Loss: 2.1655
Epoch [1/100] 		 Step [132/434] 		 Loss: 2.4336
Epoch [1/100] 		 Step [133/434] 		 Loss: 2.1217
Epoch [1/100] 		 Step [134/434] 		 Loss: 2.1728
Epoch [1/100] 		 Step [135/434] 		 Loss: 2.3316
Epoch [1/100] 		 Step [136/434] 		 Loss: 2.3201
Epoch [1/100] 		 Step [137/434] 		 Loss: 2.3450
Epoch [1/100] 		 Step [138/434] 		 Loss: 2.1053
Epoch [1/100] 		 Step [139/434] 		 Loss: 2.3585
Epoch [1/100] 		 Step [140/434] 		 Loss: 2.2318
Epoch [1/100] 		 Step [141/434] 		 Loss: 2.4965
Epoch [1/100] 		 Step [142/434] 		 Loss: 2.4109
Epoch [1/100] 		 Step [143/434] 		 Loss: 2.2371
Epoch [1/100] 		 Step [144/434] 		 Loss: 2.1953
Epoch [1/100] 		 Step [145/434] 		 Loss: 2.3560
Epoch [1/100] 		 Step [146/434] 		 Loss: 2.4257
Epoch [1/100] 		 Step [147/434] 		 Loss: 2.0655
Epoch [1/100] 		 Step [148/434] 		 Loss: 2.3238
Epoch [1/100] 		 Step [149/434] 		 Loss: 2.0521
Epoch [1/100] 		 Step [150/434] 		 Loss: 2.1742
Epoch [1/100] 		 Step [151/434] 		 Loss: 2.5938
Epoch [1/100] 		 Step [152/434] 		 Loss: 2.3409
Epoch [1/100] 		 Step [153/434] 		 Loss: 2.1941
Epoch [1/100] 		 Step [154/434] 		 Loss: 2.1369
Epoch [1/100] 		 Step [155/434] 		 Loss: 2.0571
Epoch [1/100] 		 Step [156/434] 		 Loss: 2.3523
Epoch [1/100] 		 Step [157/434] 		 Loss: 2.5075
Epoch [1/100] 		 Step [158/434] 		 Loss: 2.2464
Epoch [1/100] 		 Step [159/434] 		 Loss: 1.9759
Epoch [1/100] 		 Step [160/434] 		 Loss: 2.1509
Epoch [1/100] 		 Step [161/434] 		 Loss: 2.1231
Epoch [1/100] 		 Step [162/434] 		 Loss: 2.0950
Epoch [1/100] 		 Step [163/434] 		 Loss: 2.2490
Epoch [1/100] 		 Step [164/434] 		 Loss: 2.2258
Epoch [1/100] 		 Step [165/434] 		 Loss: 2.3002
Epoch [1/100] 		 Step [166/434] 		 Loss: 2.0418
Epoch [1/100] 		 Step [167/434] 		 Loss: 2.5684
Epoch [1/100] 		 Step [168/434] 		 Loss: 2.2409
Epoch [1/100] 		 Step [169/434] 		 Loss: 2.2299
Epoch [1/100] 		 Step [170/434] 		 Loss: 2.2672
Epoch [1/100] 		 Step [171/434] 		 Loss: 2.3764
Epoch [1/100] 		 Step [172/434] 		 Loss: 2.2056
Epoch [1/100] 		 Step [173/434] 		 Loss: 2.0215
Epoch [1/100] 		 Step [174/434] 		 Loss: 2.3614
Epoch [1/100] 		 Step [175/434] 		 Loss: 1.9959
Epoch [1/100] 		 Step [176/434] 		 Loss: 2.0851
Epoch [1/100] 		 Step [177/434] 		 Loss: 2.2202
Epoch [1/100] 		 Step [178/434] 		 Loss: 2.3755
Epoch [1/100] 		 Step [179/434] 		 Loss: 2.1048
Epoch [1/100] 		 Step [180/434] 		 Loss: 2.2713
Epoch [1/100] 		 Step [181/434] 		 Loss: 2.0702
Epoch [1/100] 		 Step [182/434] 		 Loss: 2.1713
Epoch [1/100] 		 Step [183/434] 		 Loss: 2.0285
Epoch [1/100] 		 Step [184/434] 		 Loss: 2.1029
Epoch [1/100] 		 Step [185/434] 		 Loss: 1.9919
Epoch [1/100] 		 Step [186/434] 		 Loss: 2.1356
Epoch [1/100] 		 Step [187/434] 		 Loss: 2.1554
Epoch [1/100] 		 Step [188/434] 		 Loss: 2.4016
Epoch [1/100] 		 Step [189/434] 		 Loss: 2.2619
Epoch [1/100] 		 Step [190/434] 		 Loss: 2.1891
Epoch [1/100] 		 Step [191/434] 		 Loss: 2.2114
Epoch [1/100] 		 Step [192/434] 		 Loss: 2.3872
Epoch [1/100] 		 Step [193/434] 		 Loss: 1.9959
Epoch [1/100] 		 Step [194/434] 		 Loss: 1.9473
Epoch [1/100] 		 Step [195/434] 		 Loss: 2.2659
Epoch [1/100] 		 Step [196/434] 		 Loss: 2.0807
Epoch [1/100] 		 Step [197/434] 		 Loss: 2.1481
Epoch [1/100] 		 Step [198/434] 		 Loss: 2.3119
Epoch [1/100] 		 Step [199/434] 		 Loss: 1.9920
Epoch [1/100] 		 Step [200/434] 		 Loss: 2.4709
Epoch [1/100] 		 Step [201/434] 		 Loss: 2.1687
Epoch [1/100] 		 Step [202/434] 		 Loss: 2.3264
Epoch [1/100] 		 Step [203/434] 		 Loss: 1.9470
Epoch [1/100] 		 Step [204/434] 		 Loss: 2.1965
Epoch [1/100] 		 Step [205/434] 		 Loss: 2.2531
Epoch [1/100] 		 Step [206/434] 		 Loss: 2.1188
Epoch [1/100] 		 Step [207/434] 		 Loss: 2.1217
Epoch [1/100] 		 Step [208/434] 		 Loss: 2.4365
Epoch [1/100] 		 Step [209/434] 		 Loss: 2.1003
Epoch [1/100] 		 Step [210/434] 		 Loss: 2.4108
Epoch [1/100] 		 Step [211/434] 		 Loss: 2.1360
Epoch [1/100] 		 Step [212/434] 		 Loss: 2.2766
Epoch [1/100] 		 Step [213/434] 		 Loss: 1.9832
Epoch [1/100] 		 Step [214/434] 		 Loss: 2.1378
Epoch [1/100] 		 Step [215/434] 		 Loss: 2.0632
Epoch [1/100] 		 Step [216/434] 		 Loss: 2.3021
Epoch [1/100] 		 Step [217/434] 		 Loss: 2.3108
Epoch [1/100] 		 Step [218/434] 		 Loss: 1.9361
Epoch [1/100] 		 Step [219/434] 		 Loss: 1.8828
Epoch [1/100] 		 Step [220/434] 		 Loss: 1.9963
Epoch [1/100] 		 Step [221/434] 		 Loss: 2.1550
Epoch [1/100] 		 Step [222/434] 		 Loss: 2.0645
Epoch [1/100] 		 Step [223/434] 		 Loss: 2.2812
Epoch [1/100] 		 Step [224/434] 		 Loss: 2.2640
Epoch [1/100] 		 Step [225/434] 		 Loss: 1.9327
Epoch [1/100] 		 Step [226/434] 		 Loss: 2.3496
Epoch [1/100] 		 Step [227/434] 		 Loss: 2.2781
Epoch [1/100] 		 Step [228/434] 		 Loss: 2.0478
Epoch [1/100] 		 Step [229/434] 		 Loss: 2.1667
Epoch [1/100] 		 Step [230/434] 		 Loss: 2.1628
Epoch [1/100] 		 Step [231/434] 		 Loss: 2.1860
Epoch [1/100] 		 Step [232/434] 		 Loss: 1.9085
Epoch [1/100] 		 Step [233/434] 		 Loss: 1.9983
Epoch [1/100] 		 Step [234/434] 		 Loss: 1.8365
Epoch [1/100] 		 Step [235/434] 		 Loss: 1.9887
Epoch [1/100] 		 Step [236/434] 		 Loss: 2.3286
Epoch [1/100] 		 Step [237/434] 		 Loss: 1.9514
Epoch [1/100] 		 Step [238/434] 		 Loss: 1.9788
Epoch [1/100] 		 Step [239/434] 		 Loss: 2.2443
Epoch [1/100] 		 Step [240/434] 		 Loss: 1.9017
Epoch [1/100] 		 Step [241/434] 		 Loss: 1.9577
Epoch [1/100] 		 Step [242/434] 		 Loss: 2.2129
